State,S_HBIPS-2_Measure_Description,S_HBIPS-2_Overall_Rate_Per_1000,S_HBIPS-2_Overall_Num,S_HBIPS-2_Overall_Den,S_HBIPS-3_Measure_Description,S_HBIPS-3_Overall_Rate_Per_1000,S_HBIPS-3_Overall_Num,S_HBIPS-3_Overall_Den,S_HBIPS-5_Measure_Description,S_HBIPS-5_%_of_Total,S_HBIPS-5_Overall_Num,S_HBIPS-5_Overall_Den,S_HBIPS-6_Measure_Description,S_HBIPS-6_%_of_Total,S_HBIPS-6_Overall_Num,S_HBIPS-6_Overall_Den,S_HBIPS-7_Measure_Description,S_HBIPS-7_Overall_%_of_Total,S_HBIPS-7_Overall_Num,S_HBIPS-7_Overall_Den,S_SUB-1_Measure_Description,S_SUB-1_%,S_SUB-1_Numerator,S_SUB-1_Denominator,S_TOB-1_Measure_Description,S_TOB-1_%,S_TOB-1_Numerator,S_TOB-1_Denominator,S_TOB-2/-2a_Measure_Desc,S_TOB-2_%,S_TOB-2_Numerator,S_TOB-2/-2a_Denominator,S_TOB-2a_%,S_TOB-2a_Numerator,S_TOB-2/-2a__Denominator,S_PEoC_Measure_Description,S_PEoC_Yes_Count,S_PEoC_No_Count,S_PEoC_Yes_%,S_PEoC_No_%,S_EHR_Use_Measure_Description,S_EHR_Paper_Count,S_EHR_Non-Certified_Count,S_EHR_Certified_Count,S_EHR_Paper_%,S_EHR_Non-Certified_%,S_EHR_Certified_%,S_HIE_Measure_Description,S_HIE_Yes_Count,S_HIE_No_Count,S_HIE_Yes_%,S_HIE_No_%,Start_Date,End_Date,S_FUH_Measure_Description,S_FUH-30_%,S_FUH-30_Numerator,S_FUH-30_Denominator,S_FUH-7_%,S_FUH-7_Numerator,S_FUH-7_Denominator,S_FUH_Measure_Start_Date,S_FUH_Measure_End_Date,S_IMM-2_Measure_Description,S_IMM-2_%,S_IMM-2_Numerator,S_IMM-2_Denominator,S_HCP_Measure_Description,S_HCP_%,S_HCP_Numerator,S_HCP_Denominator,S_Flu_Season_Start_Date,S_Flu_Season_End_Date
"AK","Hours of physical-restraint use","1.81","2476.16","56880","Hours of Seclusion","0.79","1083.38","56880","Patients discharged on multiple antipsychotic medications with appropriate justification","20.90","14","67","Post-discharge continuing care plan created","97.95","2296","2344","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","88.57","2076","2344","Alcohol Use Screening","79.39","986","1242","Tobacco Use Screening","81.88","1053","1286","Tobacco Use Treatment Provided or Offered","20.33","134","659","14.11","93","659","Assessment of Patient Experience of Care","3","0","100.00","0.00","Highest level typical use of an EHR system","2","1","0","66.67","33.33","0.00","Interoperable health information exchanged with HISP","0","3","0.00","100.00","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","43.65","86","197","19.80","39","197","07/01/2014","06/30/2015","Influenza Immunization","72.18","807","1118","Healthcare Personnel Influenza Vaccination","63","12075","19023","10/01/2015","03/31/2016"
"AL","Hours of physical-restraint use","0.27","2891.1","440765","Hours of Seclusion","0.16","1700.54","440766","Patients discharged on multiple antipsychotic medications with appropriate justification","48.90","620","1268","Post-discharge continuing care plan created","78.45","15482","19734","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","75.20","14842","19736","Alcohol Use Screening","88.87","12464","14025","Tobacco Use Screening","82.92","11593","13981","Tobacco Use Treatment Provided or Offered","46.70","3139","6721","30.64","2059","6721","Assessment of Patient Experience of Care","21","23","47.73","52.27","Highest level typical use of an EHR system","26","3","15","59.09","6.82","34.09","Interoperable health information exchanged with HISP","17","27","38.64","61.36","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","44.84","1335","2977","21.77","648","2977","07/01/2014","06/30/2015","Influenza Immunization","71.60","5694","7953","Healthcare Personnel Influenza Vaccination","76","103414","136152","10/01/2015","03/31/2016"
"AR","Hours of physical-restraint use","0.12","844.77","296387","Hours of Seclusion","0.23","1654.79","295387","Patients discharged on multiple antipsychotic medications with appropriate justification","62.38","330","529","Post-discharge continuing care plan created","93.92","11784","12547","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","91.89","11504","12519","Alcohol Use Screening","86.23","6465","7497","Tobacco Use Screening","95.95","7314","7623","Tobacco Use Treatment (during the hospital stay)","70.88","1675","2363","29.28","692","2363","Assessment of Patient Experience of Care","16","15","51.61","48.39","Highest level typical use of an EHR system","21","0","10","67.74","0.00","32.26","Interoperable health information exchanged with HISP","10","21","32.26","67.74","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","48.34","1006","2081","23.59","491","2081","07/01/2014","06/30/2015","Influenza Immunization","72.59","4321","5953","Healthcare Personnel Influenza Vaccination","85","77698","91639","10/01/2015","03/31/2016"
"AZ","Hours of physical-restraint use","0.44","4981.36","476264","Hours of Seclusion","0.25","2855.43","476293","Patients discharged on multiple antipsychotic medications with appropriate justification","46.81","440","940","Post-discharge continuing care plan created","69.75","12888","18477","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","67.77","12523","18479","Alcohol Use Screening","66.08","11046","16715","Tobacco Use Screening","74.49","11966","16064","Tobacco Use Treatment Provided or Offered","59.76","3229","5403","30.35","1640","5403","Assessment of Patient Experience of Care","23","4","85.19","14.81","Highest level typical use of an EHR system","10","2","15","37.04","7.41","55.56","Interoperable health information exchanged with HISP","14","13","51.85","48.15","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","50.09","1154","2304","32.42","747","2304","07/01/2014","06/30/2015","Influenza Immunization","54.49","5259","9651","Healthcare Personnel Influenza Vaccination","85","139680","164426","10/01/2015","03/31/2016"
"CA","Hours of physical-restraint use","0.38","18278.66","2003041","Hours of Seclusion","0.25","12152.1","2003050","Patients discharged on multiple antipsychotic medications with appropriate justification","58.29","2116","3630","Post-discharge continuing care plan created","84.49","48013","56824","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","75.81","43495","57375","Alcohol Use Screening","77.83","37021","47567","Tobacco Use Screening","84.93","39598","46624","Tobacco Use Treatment (during the hospital stay)","56.61","10581","18692","25.68","4801","18692","Assessment of Patient Experience of Care","66","23","74.16","25.84","Highest level typical use of an EHR system","51","0","38","57.30","0.00","42.70","Interoperable health information exchanged with HISP","30","59","33.71","66.29","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","48.67","6498","13352","29.80","3979","13352","07/01/2014","06/30/2015","Influenza Immunization","64.27","21456","33383","Healthcare Personnel Influenza Vaccination","82","763090","929584","10/01/2015","03/31/2016"
"CO","Hours of physical-restraint use","0.53","4103.85","325641","Hours of Seclusion","1.18","9190.04","325641","Patients discharged on multiple antipsychotic medications with appropriate justification","61.71","311","504","Post-discharge continuing care plan created","81.48","7212","8851","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","73.25","6483","8851","Alcohol Use Screening","69.60","4263","6125","Tobacco Use Screening","93.90","5760","6134","Tobacco Use Treatment Provided or Offered","43.51","1063","2443","19.69","481","2443","Assessment of Patient Experience of Care","14","1","93.33","6.67","Highest level typical use of an EHR system","9","2","4","60.00","13.33","26.67","Interoperable health information exchanged with HISP","6","9","40.00","60.00","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","53.58","1070","1997","31.70","633","1997","07/01/2014","06/30/2015","Influenza Immunization","62.94","2923","4644","Healthcare Personnel Influenza Vaccination","97","148405","153185","10/01/2015","03/31/2016"
"CT","Hours of physical-restraint use","0.57","6123.8","447465","Hours of Seclusion","0.34","3206.93","391518","Patients discharged on multiple antipsychotic medications with appropriate justification","67.89","461","679","Post-discharge continuing care plan created","85.73","11938","13925","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","81.30","11321","13925","Alcohol Use Screening","92.59","13227","14285","Tobacco Use Screening","95.81","13719","14319","Tobacco Use Treatment Provided or Offered","68.14","4592","6739","40.44","2725","6739","Assessment of Patient Experience of Care","20","8","71.43","28.57","Highest level typical use of an EHR system","16","1","11","57.14","3.57","39.29","Interoperable health information exchanged with HISP","11","17","39.29","60.71","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","66.07","1990","3012","41.90","1262","3012","07/01/2014","06/30/2015","Influenza Immunization","88.68","7748","8737","Healthcare Personnel Influenza Vaccination","88","99595","113388","10/01/2015","03/31/2016"
"DC","Hours of physical-restraint use","0.09","374.1","167566","Hours of Seclusion","0.09","375.39","167566","Patients discharged on multiple antipsychotic medications with appropriate justification","55.23","132","239","Post-discharge continuing care plan created","74.16","2218","2991","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","48.78","1459","2991","Alcohol Use Screening","78.85","2233","2832","Tobacco Use Screening","84.98","2399","2823","Tobacco Use Treatment Provided or Offered","23.12","255","1103","13.24","146","1103","Assessment of Patient Experience of Care","4","3","57.14","42.86","Highest level typical use of an EHR system","6","0","1","85.71","0.00","14.29","Interoperable health information exchanged with HISP","3","4","42.86","57.14","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","36.50","273","748","16.71","125","748","07/01/2014","06/30/2015","Influenza Immunization","83.87","1732","2065","Healthcare Personnel Influenza Vaccination","94","37532","39759","10/01/2015","03/31/2016"
"DE","Hours of physical-restraint use","0.03","96.02","124842","Hours of Seclusion","0.04","133.38","124842","Patients discharged on multiple antipsychotic medications with appropriate justification","68.00","136","200","Post-discharge continuing care plan created","98.54","4055","4115","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","94.82","3902","4115","Alcohol Use Screening","98.69","3002","3042","Tobacco Use Screening","95.17","2899","3046","Tobacco Use Treatment Provided or Offered","91.93","1435","1561","34.02","531","1561","Assessment of Patient Experience of Care","5","0","100.00","0.00","Highest level typical use of an EHR system","4","0","1","80.00","0.00","20.00","Interoperable health information exchanged with HISP","2","3","40.00","60.00","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","48.95","511","1044","30.94","323","1044","07/01/2014","06/30/2015","Influenza Immunization","79.07","1470","1859","Healthcare Personnel Influenza Vaccination","89","34245","38264","10/01/2015","03/31/2016"
"FL","Hours of physical-restraint use","0.57","20678.9","1518623","Hours of Seclusion","0.13","3078.31","1024793","Patients discharged on multiple antipsychotic medications with appropriate justification","60.52","1136","1877","Post-discharge continuing care plan created","92.08","44259","48064","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","83.02","39812","47952","Alcohol Use Screening","88.28","32542","36863","Tobacco Use Screening","93.68","34085","36384","Tobacco Use Treatment Provided or Offered","70.06","11928","17026","21.88","3725","17026","Assessment of Patient Experience of Care","60","10","85.71","14.29","Highest level typical use of an EHR system","31","1","38","44.29","1.43","54.29","Interoperable health information exchanged with HISP","44","26","62.86","37.14","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","45.38","6816","15020","23.97","3600","15020","07/01/2014","06/30/2015","Influenza Immunization","71.61","18500","25834","Healthcare Personnel Influenza Vaccination","76","419113","552948","10/01/2015","03/31/2016"
